brand,aspect,sentiment,template_response,status
,body-parts-eyes,negative,"A gentle wipe with a damp cotton ball will help to keep your dog's eyes gunk-free. Wipe outward from the corner of the eye and be careful not to touch his eyeball-you don‰Ûªt want to scratch the cornea. If your dog constantly suffers from runny eyes and discharge, please see your veterinarian. Your pet may have an infection.",R
,body-parts-muscles,negative,"Pedigree ensures that your dog is provided with all the vitamins, minerals, essential fatty acids, proteins, carbohydrates and fibre your dog needs for healthy muscle development.",R
,body-parts-muscles,negative,"We guarantees that your dog is given every one of the vitamins, minerals, basic unsaturated fats, proteins, starches and fiber your canine require for solid muscle improvement.",R
,body-parts-paws,negative,"Dogs with diabetes may exhibit signs of back leg weakness, although this symptoms is more common in diabetic cats. Please consult a vet.",R
,body-parts-skin,negative,"As food is always not the reason behind the health issues especially hair loss, the culprit can be dog's unique hair growth cycle and seasonal hair shedding or dogs also may shed excessive hair because of stress, harsh climate and general illness or some medical conditions such as thyroid disease or skin allergies can cause excessive shedding. Some tips to prevent or reduce hair shedding includes: - 1. Brush, brush, brush : A daily brushing works best because it helps to get rid of all of your dog's loose hair. If you can't brush him every day, aim for at least two good brushings per week.  2. Give him a bath : Bathing your dog regularly with a rich oatmeal shampoo will help to keep his coat healthy, without leaving his skin dry. A healthy coat is less likely to have a lot of loose hair to shed.3. Feed him a high quality diet : A diet that is rich in fatty acids, minerals like Zinc and digestible proteins will keep your dog's coat strong and healthy, and will help decrease excessive shedding. Eg., Pedigree active for adult dogs",R
,body-parts-skin,negative,"As sustenance is dependably not the purpose for the medical problems particularly hair problems, the reason can be dog's novel hair development cycle and regular hair shedding or pooches additionally may shed over the top hair due to pressure, cruel atmosphere and general sickness or some therapeutic conditions, for example, thyroid illness or skin hypersensitivities can cause exorbitant shedding. A few hints to avoid or decrease hair shedding incorporates: - 1. Brush, brush, brush : A day by day brushing works best since it disposes of the majority of your pooch's free hair. On the off chance that you can't brush him consistently, go for no less than two great brushings for every week. 2. Give him a shower : Bathing your puppy consistently with a rich oats cleanser will keep his jacket sound, without leaving his skin dry. A solid coat is more averse to have a great deal of free hair to shed. 3. Encourage him a great eating routine : An eating routine that is rich in unsaturated fats, minerals like Zinc and absorbable proteins will keep your puppy's jacket solid and sound, and will help diminish over the top shedding. Eg., Pedigree dynamic for grown-up canines",R
,body-parts-skin,negative,"A diet that is rich in fatty acids, minerals like Zinc and digestible proteins will keep your dog's coat strong and healthy, and will help decrease excessive shedding. Eg., Pedigree active for adult dogs",R
,body-parts-skin,negative,"Food is not always the reason behind skin problems of your pet. If you feed food like raw eggs repeatedly, can cause skin problem.But if that's not the issue we are always here to serve you.",R
,body-parts,negative,"No single ingredient/ source of diet will provide all the nutrients and energy requirement of a dog. For eg., Cereals are rich in some vitamins but lack many nutrients required for a dog or puppy. Meat is rich source of proteins but low in Calcium and Vitamin A. Like wise Milk is low in iron and Vitamin D. Dogs can not tolerate too much of milk in their diet. A 7 kg body weight dog can tolerate up to 250 ml of milk and anything excess lead to loose stools. Raw eggs should not be fed to dogs as it can lead to poor skin and hair coat. Nutrients like biotin are not utilized in the body. Raw eggs are also source of infections like salmonella which can cause severe gastroenteritis in dogs.",R
,body-parts,negative,"I would suggest you to select which type of food will suit your dog. Here are few guidelines:- Your dog's calorie and nutrient requirements are based on his body weight, his age, his physiological state (growing, pregnant or lactating?) and his activity level. First select the right type of food for his lifestyle, then weigh your dog (don't guess) and feed according to the feeding guide provided with the food. It is, however, important to remember that all dogs are individuals and feeding guides are recommendations only. So, most importantly, monitor your dog's body condition and weight regularly, adjusting the amount you are feeding to ensure that body weight and condition are optimum so that he is neither losing nor gaining weight.",R
